SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NCR-BEML RS3R-T&C-CPD-029B,05/Mar/19,25/Feb/19,Auto dimmer unit,It is observed that Auto Dimmer units are not able to adjust the intensity of LED saloon lights.,,,,"TS#01: TC1, TC2, MC2: 852749, 852749, 852749
TS#03: TC1, TC2, DMC2: 852761, 852761, 852761
TS#02: DMC1, TC1, MC1, MC2, TC2, DMC2: 885158, 885158, 885158, 885158, 885158, MOCKUP
TS#07: MC1, TC2: 852769, 852769 ",___,,14,Lighting,"01,02,03,07",,M/s Teknoware,CLOSED,REPLACED,Auto dimmer unit,24.04.2019,REPLACEMENT BY BEML,15.05.2019,,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NCR-BEML RS3R-T&C-CPD-030,28/Feb/19,15/Feb/19,Light Sensor,"It is observed that light sensor are not able to adjust the light level of LED saloon lights in TS#01 DM2, TS#03 DM1 and TS#08 T2 car.",,,,"17341, 18081, 18025",___,,3,Lighting,"01,03,08","DM-2,DM-1,T-2",M/s Teknoware,CLOSED,,,,,09.01.2020,,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NCR-BEML RS3R-T&C-CPD-031,05/Mar/19,02/Mar/19,Saloon Door,L1 Door not opening fully,,,,___,___,,1,Door,03,M-1,M/s KBI,CLOSED,Repaired,-,26.08.2019,N/A,26.08.2019,Gmail,NOT FOUND,X1 connector of DCU was loose. Attended by KBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NCR-BEML RS3R-T&C-CPD-032,05/Mar/19,23/Jan/19,Saloon Door,LDI CB was tripping as soon as TC1 L1 door DCU was switched on.,,,,___,___,,1,Door,05,T-1,M/s KBI,CLOSED,Repaired,,,REPLACEMENT BY VENDOR,27.08.2019,,NOT FOUND,Loose contact in X11 connector rectified and NCR withdrawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NCR-BEML RS3R-T&C-CPD-033,22/Mar/19,18/Mar/19,VVVF,No propulsion is occuring in M1 car.,,,,Assy No: DL6233,___,Partha,1,Propulsion,06,M-1,M/s MELCO,CLOSED,REPLACED,VVVF,12.04.2019,CANNIBALISATION,,,NOT FOUND,Mail sent to melco on dated 20.05.2021 for FIR ( Meloc replied: -  FIR sent .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NCR-BEML RS3R-T&C-CPD-034,22/Mar/19,28/Feb/19,Wiper Motor Switch,"It is observed that wiper motor switch is not able to move wiper in different modes such as low, high, short and long modes, wiper moves in high mode only.",,,,498765,___,Suraj Pd Barnwal,1,Wiper,06,DM-1,M/s Benson Marine,closed,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NCR-BEML RS3R-T&C-CPD-035,20/Mar/19,18/Mar/19,PLC of Cab VAC,CAB VAC not communicating with TCMS.,,,,"TS#04- 00234 1818
TS#04- 00229 1816","TS#04 - 00226 1806
TS#04- 00232 1818",,2,VAC,04,,M/s Faiveley,CLOSED,REPLACED,PLC,04.07.2019,REPLACEMENT BY VENDOR,29.08.2019,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NCR-BEML RS3R-T&C-CPD-035,20/Mar/19,18/Mar/19,PLC of Cab VAC,CAB VAC not communicating with TCMS.,,,,TS#05- 00233 1818,TS#05- 00230 1816,,1,VAC,05,,M/s Faiveley,CLOSED,REPLACED,PLC,04.07.2019,REPLACEMENT BY VENDOR,29.08.2019,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NCR-BEML RS3R-T&C-CPD-036,22/Mar/19,20/Mar/19,Single Hose protection Valve,TS#07 M2 End 2 Major air leakage observed from single hose protection valve.,,,,"Part No: AB839-T8
Assy No: K17028",___,,1,Brake,07,M-2,M/s Faiveley,CLOSED,REPLACED,Single Hose protection Valve,,REPLACEMENT BY VENDOR,13.08.2019,,45,19.05.2021 mail sent forall  fir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NCR-BEML RS3R-T&C-CPD-037,16/Apr/19,25/Mar/19,FAEMV Electrical Connector,"It is observed that EBMVCB in T1 car and TLCB2 in DM1 car were tripped while emergency brake is released by TBC, On investigation we found that FAEMV electrical connector was found that as Diode resistance value is 0.2 ohm instead of OL in Mohm.",,,,___,___,,1,Brake,08,T-1,M/s KBI,CLOSED,REPLACED,FAEMV Electrical Connector,NA,REPLACEMENT BY BEML,09.07.2019,,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NCR-BEML RS3R-T&C-CPD-038,02/Apr/19,02/Apr/19,"i)16 Port ethernet Switch,ii) TFT","All 6 TFTs assgined with 2 IP addresses only
1A & 1C TFTs are not functional",,,,,,,"i)1,ii)2",PAPIS,02,"T-2,DM-2,",M/s Televic,CLOSED,REPLACED,,NA,,,,,mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NCR-BEML RS3R-T&C-CPD-039,02/Apr/19,02/Apr/19,FDI/TNI,FDI/TNI is not functioning.,,,,1890003-0004,___,Pritesh,1,PAPIS,06,DM-2,M/s Televic,OPEN,,,,,,,87,"mail sent to telvic for FIR on dated 21.05.2021.
And material is available in DLP stock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NCR-BEML RS3R-T&C-CPD-040,11/Apr/19,10/Apr/19,STV,DM1 & M2 STVs found faulty. Internal air leakage observed.,,,,,,,2,Brake,08,"DM-1,M-2",M/s KBI,CLOSED,REPLACED,STV,27.04.2019,REPLACEMENT BY BEML,,,40,Fleet Replacement Report Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NCR-BEML RS3R-T&C-CPD-040A,20/May/19,20/May/19,STV,T2 & M2 STVs found faulty. Internal air leakage observed.,,,,"1. 2918270779 & 2918270780
2. 2918270782 & 2917100585","2918310832, 2918370857",Balaram,4,Brake,"08,09",,M/s KBI,CLOSED,REPLACED,STV,20.06.2019,REPLACEMENT BY BEML,Received,,41,Fleet Replacement Report Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
